Table 1
NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Tate County, Mississippi",28137,Mississippi,.090411,n/a**,.090411,.3191489,.027027,.0050761,.3178114,n/a**,.3192982,.4202561,n/a**,.4222222,.7739043,.3539994,64146,49200,70985
"Tippah County, Mississippi",28139,Mississippi,.05,n/a**,.050193,.1891892,n/a*,0,.2828746,n/a**,.276699,.4281346,n/a**,.4190938,.8384311,.2300391,51144,39631,54092
"Tishomingo County, Mississippi",28141,Mississippi,.0590909,n/a**,.0590909,n/a*,n/a*,0,.2915952,n/a**,.2915952,.3704974,n/a**,.3704974,1,.0681035,49943,44722,50253
"Tunica County, Mississippi",28143,Mississippi,.2045455,.214876,n/a**,.4210526,n/a*,n/a*,.3128655,.3154574,n/a**,.380117,.3753943,n/a**,.6602338,.8100721,52941,49688,64218
"Union County, Mississippi",28145,Mississippi,.058548,n/a**,.058548,.1875,.037037,0,.3275463,n/a**,.3275463,.4849537,n/a**,.4849537,.7555834,.2180166,58050,44695,60954
"Walthall County, Mississippi",28147,Mississippi,.0786517,n/a*,n/a*,.2321429,n/a*,0,.2505967,n/a*,n/a*,.4224344,n/a*,n/a*,1,.4734406,50698,39826,61245
"Warren County, Mississippi",28149,Mississippi,.0791075,n/a**,n/a*,.2533333,.0093458,0,.2897553,n/a**,n/a*,.3700306,n/a**,n/a*,.4089353,.5292891,63019,42700,83439
"Washington County, Mississippi",28151,Mississippi,.1434511,.1475054,n/a*,.377907,.0373832,0,.2993779,.2994304,n/a*,.3639191,.3653377,n/a*,.1752352,.7486376,49835,39133,79089
"Wayne County, Mississippi",28153,Mississippi,.1132075,.1132075,n/a*,.3146068,.0377358,0,.328125,.3425926,n/a*,.4461806,.4722222,n/a*,.7964043,.4259559,60167,37317,74678
"Webster County, Mississippi",28155,Mississippi,.0461538,n/a**,.0521739,n/a*,n/a*,0,.3310345,n/a**,.3531746,.4413793,n/a**,.4484127,1,.2179566,54448,32431,60178
"Wilkinson County, Mississippi",28157,Mississippi,.1052632,.1125,n/a**,n/a*,n/a*,n/a*,.3409091,.3128205,n/a**,.4318182,.4102564,n/a**,1,.7218028,41858,30235,64604
"Winston County, Mississippi",28159,Mississippi,.1121076,n/a*,n/a*,.3243243,n/a*,0,.3081181,n/a*,.2424242,.396679,n/a*,.3484848,.7591416,.5006309,57737,39034,73192
"Yalobusha County, Mississippi",28161,Mississippi,.0957447,n/a**,.1052632,n/a*,n/a*,0,.352657,n/a**,.3449612,.4492754,n/a**,.4418605,.7931851,.419827,49019,39562,55058
"Yazoo County, Mississippi",28163,Mississippi,.1412214,.1290323,.1594203,.375,.0307692,.0092593,.2532751,.2336634,.3035714,.3668122,.3524753,.4047619,.4460716,.653317,53676,47153,62538
"Adair County, Missouri",29001,Missouri,.0561224,n/a**,.0561224,n/a*,n/a*,0,.2675585,n/a**,.2675585,.319398,n/a**,.319398,.3785293,.1017383,59203,42201,60645
"Andrew County, Missouri",29003,Missouri,.0456853,n/a**,.0456853,n/a*,n/a*,.0074627,.3044316,n/a**,.3044316,.3776493,n/a**,.3776493,.6128044,.0552477,73248,85295,72795
"Atchison County, Missouri",29005,Missouri,.0192308,n/a**,.0192308,n/a*,n/a*,n/a*,.2709678,n/a**,.2709678,.3354839,n/a**,.3354839,1,.0344234,64236,63656,64256
"Audrain County, Missouri",29007,Missouri,.0528053,n/a**,.0528053,.1951219,n/a*,0,.3225806,n/a**,.3225806,.405914,n/a**,.405914,.4119629,.1334035,61557,51127,62697
"Barry County, Missouri",29009,Missouri,.0274314,n/a**,.0274314,.1929825,0,0,.3090909,n/a**,.309387,.3808613,n/a**,.3812261,.732646,.1436532,64139,58104,64940
"Barton County, Missouri",29011,Missouri,.0833333,n/a**,.0833333,n/a*,n/a*,0,.3146667,n/a**,.3146667,.4053333,n/a**,.4053333,.6395743,.0756124,64001,42405,65120
"Bates County, Missouri",29013,Missouri,.0674157,n/a**,.0674157,n/a*,n/a*,0,.3020833,n/a**,.3020833,.3645833,n/a**,.3645833,.772714,.0586033,67588,37958,68912
"Benton County, Missouri",29015,Missouri,.0379747,n/a**,.0379747,n/a*,n/a*,0,.2956081,n/a**,.2956081,.3902027,n/a**,.3902027,.8653967,.0519181,56309,32853,57151
"Bollinger County, Missouri",29017,Missouri,.0675676,n/a**,.0675676,n/a*,n/a*,0,.3121212,n/a**,.3121212,.4393939,n/a**,.4393939,1,.0400818,53816,39928,54154
"Boone County, Missouri",29019,Missouri,.0338428,n/a**,.0339912,.2042253,.013986,0,.2999045,n/a**,.3014068,.3465138,n/a**,.3480439,.1878605,.2111781,77332,55787,82264
"Buchanan County, Missouri",29021,Missouri,.0751445,n/a**,.0752315,.3170732,0,0,.2535527,n/a**,.2557525,.31638,n/a**,.3187476,.1337205,.167262,62181,48992,64617
"Butler County, Missouri",29023,Missouri,.0654206,n/a**,.0645161,.2364865,0,0,.2463382,n/a**,.2472973,.3462051,n/a**,.3466216,.5218255,.114427,53954,42045,55216
"Caldwell County, Missouri",29025,Missouri,.06,n/a**,.06,n/a*,n/a*,0,.3018182,n/a**,.3018182,.3636364,n/a**,.3636364,1,.0552052,59737,65595,59473
"Callaway County, Missouri",29027,Missouri,.0555556,n/a**,.0555556,.2831858,.0107527,0,.3447273,n/a**,.3447273,.4232727,n/a**,.4232727,.6202743,.0980641,68870,55230,69971
"Camden County, Missouri",29029,Missouri,.0224719,n/a**,.0224719,.173913,0,0,.3132867,n/a**,.3132867,.3706294,n/a**,.3706294,.7422844,.0574715,71833,55520,72367
"Cape Girardeau County, Missouri",29031,Missouri,.0433404,n/a**,.0434783,.2435897,.0204082,0,.3275862,n/a**,.3296563,.392767,n/a**,.3949936,.3050321,.1405384,76207,55447,79353
"Carroll County, Missouri",29033,Missouri,.0510204,n/a**,.0510204,n/a*,n/a*,0,.3180076,n/a**,.3180076,.3639847,n/a**,.3639847,.6454008,.0528414,62887,30680,64398
"Carter County, Missouri",29035,Missouri,.0192308,n/a**,.0192308,n/a*,n/a*,n/a*,.2966102,n/a**,.2966102,.440678,n/a**,.440678,1,.0380673,56449,35277,57348
"Cass County, Missouri",29037,Missouri,.0311369,n/a*,.0311369,.1631799,.0093023,0,.3409091,n/a*,.3412112,.405549,n/a*,.4059084,.3240214,.1202834,89307,80315,90255
"Cedar County, Missouri",29039,Missouri,.0628931,n/a**,.0628931,n/a*,n/a*,0,.287703,n/a**,.287703,.3665893,n/a**,.3665893,.7529681,.0544755,53665,33308,54896
"Chariton County, Missouri",29041,Missouri,.0142857,n/a**,.0142857,n/a*,n/a*,0,.3314607,n/a**,.3333333,.3932584,n/a**,.3954802,1,.0503809,60240,35293,61046
"Christian County, Missouri",29043,Missouri,.0307814,n/a**,.0307814,.2171429,0,.0011325,.3687094,n/a**,.368962,.4320438,n/a**,.4323398,.4479605,.0666371,78788,67076,79359
"Clark County, Missouri",29045,Missouri,.0185185,n/a**,.0185185,n/a*,n/a*,n/a*,.2279793,n/a**,.2279793,.2797928,n/a**,.2797928,1,.0308305,65020,33384,66142
"Clay County, Missouri",29047,Missouri,.0322581,n/a**,.0323194,.1944444,.005814,.0004669,.3409692,n/a**,.3415435,.3943361,n/a**,.3949728,.0981576,.1995015,85262,65742,89052
"Clinton County, Missouri",29049,Missouri,.045614,n/a**,.045614,n/a*,n/a*,0,.3252496,n/a**,.3252496,.3980029,n/a**,.3980029,.7620884,.0627805,72858,64876,73357
"Cole County, Missouri",29051,Missouri,.0343249,n/a**,.0334487,.2116788,0,0,.3280423,n/a**,.3297683,.3791887,n/a**,.3801248,.2907488,.1864617,76584,79912,76076
"Cooper County, Missouri",29053,Missouri,.0394089,n/a**,.0394089,n/a*,n/a*,0,.3347107,n/a**,.3347107,.4152893,n/a**,.4152893,.5320152,.1221971,63688,59388,63958
"Crawford County, Missouri",29055,Missouri,.0383387,n/a**,.0383387,.2105263,0,0,.3287858,n/a**,.3287858,.4242838,n/a**,.4242838,.7330742,.0483564,54332,37654,54892
"Dade County, Missouri",29057,Missouri,.0560748,n/a**,.0560748,n/a*,n/a*,.0140845,.3389121,n/a**,.3389121,.4393305,n/a**,.4393305,1,.0629454,55998,28542,57519
"Dallas County, Missouri",29059,Missouri,.0653595,n/a**,.0653595,n/a*,n/a*,0,.2895377,n/a**,.2895377,.3673966,n/a**,.3673966,.819336,.0544021,62312,46346,63018
"Daviess County, Missouri",29061,Missouri,.0549451,n/a**,.0549451,n/a*,n/a*,0,.2829457,n/a**,.2829457,.3410853,n/a**,.3410853,1,.0407474,64421,46932,64678
"DeKalb County, Missouri",29063,Missouri,.0412371,n/a**,.0412371,n/a*,n/a*,0,.2585034,n/a**,.2585034,.3231293,n/a**,.3231293,.6240304,.1619032,63023,79849,62624
"Dent County, Missouri",29065,Missouri,.0229885,n/a**,.0229885,n/a*,n/a*,0,.2644628,n/a**,.2661123,.357438,n/a**,.3596674,.6856997,.0568672,54579,36040,55498
"Douglas County, Missouri",29067,Missouri,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2419355,n/a**,.2419355,.3548387,n/a**,.3548387,.791216,.019991,51868,102707,51146
"Dunklin County, Missouri",29069,Missouri,.0894569,n/a**,.0894569,.3176471,.0133333,0,.2578548,n/a**,.2578548,.3282773,n/a**,.3282773,.5045536,.1962567,52761,35301,55732
"Franklin County, Missouri",29071,Missouri,.0404115,n/a**,.0404115,.2403846,.0181818,.0010718,.3239356,n/a**,.3239356,.3872267,n/a**,.3872267,.5559847,.0497621,74262,95163,73703
"Gasconade County, Missouri",29073,Missouri,.0166667,n/a**,.0166667,n/a*,n/a*,0,.2946058,n/a**,.2946058,.3692946,n/a**,.3692946,.8086979,.0409218,68913,67676,68977
"Gentry County, Missouri",29075,Missouri,0,n/a**,0,n/a*,n/a*,n/a*,.2901554,n/a**,.2901554,.3419689,n/a**,.3419689,1,.0405079,61423,46528,61678
"Greene County, Missouri",29077,Missouri,.0476627,n/a**,.0480148,.245098,.0069204,.0004803,.2878675,n/a**,.2885964,.346232,n/a**,.3468551,.1399769,.1307091,63870,59187,64447
"Grundy County, Missouri",29079,Missouri,.0126582,n/a**,.0126582,n/a*,n/a*,0,.2391304,n/a**,.2391304,.2862319,n/a**,.2862319,.454634,.0593475,57506,40449,58214
"Harrison County, Missouri",29081,Missouri,.0746269,n/a**,.0746269,n/a*,n/a*,n/a*,.1942149,n/a**,.1942149,.2644628,n/a**,.2644628,.7039187,.0486397,52317,42307,52674
"Henry County, Missouri",29083,Missouri,.0633803,n/a**,.0633803,.2982456,n/a*,.0055866,.3202247,n/a**,.3202247,.3918539,n/a**,.3918539,.4954652,.0647803,63004,30376,65025
"Hickory County, Missouri",29085,Missouri,.0333333,n/a**,.0333333,n/a*,n/a*,0,.2548262,n/a**,.2548262,.3474903,n/a**,.3474903,1,.0522118,43912,52624,43473
"Holt County, Missouri",29087,Missouri,.04,n/a**,.04,n/a*,n/a*,n/a*,.2894737,n/a**,.2894737,.3289474,n/a**,.3289474,1,.0417419,60182,55160,60291
"Howard County, Missouri",29089,Missouri,.0451128,n/a**,.0451128,n/a*,n/a*,0,.330033,n/a**,.330033,.4323432,n/a**,.4323432,.6405757,.0944522,64775,53498,65635
"Howell County, Missouri",29091,Missouri,.0382883,n/a**,.0382883,.1724138,.0113636,.0037175,.2723674,n/a**,.2723674,.3467934,n/a**,.3467934,.7217327,.0572262,52116,44866,52570
"Iron County, Missouri",29093,Missouri,.0542636,n/a**,.0542636,n/a*,n/a*,0,.3280757,n/a**,.3280757,.4037855,n/a**,.4037855,.7485419,.0563754,51670,45232,52027
"Jackson County, Missouri",29095,Missouri,.0592593,.1185077,.0356324,.2507481,.0155786,.000441,.2757516,.2148547,.2999701,.3362824,.2867599,.3554009,.0383693,.3811946,75915,56399,85873
"Jasper County, Missouri",29097,Missouri,.0666667,n/a**,.0670278,.2719547,.006993,.001182,.3142706,n/a**,.3180107,.3868149,n/a**,.3905914,.236917,.1583139,60613,41591,63316
"Jefferson County, Missouri",29099,Missouri,.0385316,n/a**,.0385667,.2239382,.0106383,.0018075,.3913943,n/a**,.3914964,.4502827,n/a**,.4503037,.3019617,.0559185,79374,81325,79316
"Johnson County, Missouri",29101,Missouri,.0324963,n/a**,.0324963,.2365591,0,0,.3460576,n/a**,.3460576,.422403,n/a**,.422403,.5044396,.1424127,66605,56566,68012
"Knox County, Missouri",29103,Missouri,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.1818182,n/a**,.1818182,.2545455,n/a**,.2545455,1,.0380035,56014,42773,56249
"Laclede County, Missouri",29105,Missouri,.0524272,n/a**,.0524272,.2352941,.0173913,.0033557,.3243471,n/a**,.3243471,.4254423,n/a**,.4254423,.6051278,.0688976,58389,48677,58953
"Lafayette County, Missouri",29107,Missouri,.062645,n/a**,.062645,.3472222,.0243902,0,.3207547,n/a**,.3207547,.4009434,n/a**,.4009434,.5694857,.0802528,72876,67747,73216
"Lawrence County, Missouri",29109,Missouri,.0385439,n/a**,.0385439,.1744186,.0266667,.003268,.2981316,n/a**,.2981316,.3777417,n/a**,.3777417,.5868665,.1089938,58968,50323,59637
"Lewis County, Missouri",29111,Missouri,.03125,n/a**,.03125,n/a*,n/a*,0,.2948207,n/a**,.2948207,.3784861,n/a**,.3784861,1,.0738322,57940,49697,58363
"Lincoln County, Missouri",29113,Missouri,.0392377,n/a**,.0392377,.2142857,.0320513,0,.3869654,n/a**,.3869654,.4516293,n/a**,.4516293,.7482974,.0696567,74375,71752,74525
"Linn County, Missouri",29115,Missouri,.025974,n/a**,.025974,n/a*,n/a*,0,.2707317,n/a**,.2707317,.3682927,n/a**,.3682927,.6645247,.0518451,59352,59237,59356
"Livingston County, Missouri",29117,Missouri,.0258065,n/a**,.0258065,n/a*,n/a*,0,.3103448,n/a**,.3103448,.3793103,n/a**,.3793103,.3660415,.0763586,59092,22104,60820
"McDonald County, Missouri",29119,Missouri,.064257,n/a**,.0391061,.2333333,.0277778,0,.3311688,n/a**,.353211,.3928571,n/a**,.4082569,.9999133,.2272847,54657,53713,54841
"Macon County, Missouri",29121,Missouri,.0402299,n/a**,.0402299,n/a*,n/a*,0,.2599206,n/a**,.2599206,.3412699,n/a**,.3412699,.6778877,.0640174,53813,38158,54516
"Madison County, Missouri",29123,Missouri,.0492611,n/a**,.0492611,n/a*,n/a*,.0080645,.3741007,n/a**,.3741007,.4820144,n/a**,.4820144,.6550794,.0536169,59032,27700,60735
"Maries County, Missouri",29125,Missouri,.04,n/a**,.04,n/a*,n/a*,0,.3375528,n/a**,.3375528,.4219409,n/a**,.4219409,1,.0454391,62778,39502,64057
"Marion County, Missouri",29127,Missouri,.0496894,n/a**,.0496894,.238806,0,0,.2433538,n/a**,.2433538,.3220859,n/a**,.3220859,.2476634,.0995875,61788,80517,60550
"Mercer County, Missouri",29129,Missouri,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.3444445,n/a**,.3444445,.3888889,n/a**,.3888889,1,.0425357,57579,68833,57472
"Miller County, Missouri",29131,Missouri,.03663,n/a**,.03663,.2,0,0,.303155,n/a**,.303155,.3689986,n/a**,.3689986,.7978019,.0517043,64090,43016,64960
"Mississippi County, Missouri",29133,Missouri,.1386861,n/a**,.0779221,n/a*,n/a*,0,.2698413,n/a**,.277512,.3544973,n/a**,.3636364,.3269954,.2853249,50405,32279,55692
"Moniteau County, Missouri",29135,Missouri,.0207254,n/a**,.0207254,n/a*,n/a*,0,.3738532,n/a**,.375576,.4380734,n/a**,.4400922,.5270071,.0838215,67975,59115,68349
"Monroe County, Missouri",29137,Missouri,.0673077,n/a**,.0673077,n/a*,n/a*,0,.3211382,n/a**,.3211382,.4105691,n/a**,.4105691,1,.0709236,56487,38354,57501
"Montgomery County, Missouri",29139,Missouri,.062069,n/a**,.062069,n/a*,n/a*,0,.2773723,n/a**,.2773723,.3479319,n/a**,.3479319,.7851422,.0594585,57597,42504,58409
"Morgan County, Missouri",29141,Missouri,.0321429,n/a**,.0322581,n/a*,n/a*,0,.2851563,n/a**,.2868421,.3619792,n/a**,.3644737,1,.0587046,54011,33989,54991
"New Madrid County, Missouri",29143,Missouri,.0636364,n/a**,.0636364,.2096774,n/a*,0,.3612245,n/a**,.3612245,.4408163,n/a**,.4408163,.5686326,.2013667,50499,35965,53716
"Newton County, Missouri",29145,Missouri,.0531401,n/a**,.0532044,.212766,.0189873,.0020747,.3282002,n/a**,.328351,.392204,n/a**,.3924783,.6443714,.1388793,72789,67513,73362
"Nodaway County, Missouri",29147,Missouri,.0188679,n/a**,.0188679,n/a*,n/a*,0,.2368897,n/a**,.2368897,.2857143,n/a**,.2857143,.4343175,.0741089,58922,40790,60014
"Oregon County, Missouri",29149,Missouri,.0449438,n/a**,.0449438,n/a*,n/a*,0,.2738589,n/a**,.2738589,.3609959,n/a**,.3609959,.8053488,.0596412,43846,44819,43799
"Osage County, Missouri",29151,Missouri,.023622,n/a**,.023622,n/a*,n/a*,0,.2676768,n/a**,.2676768,.3207071,n/a**,.3207071,1,.0149835,74559,69492,74624
"Ozark County, Missouri",29153,Missouri,0,n/a**,0,n/a*,n/a*,n/a*,.265,n/a**,.2708333,.34,n/a**,.3489583,1,.047138,42760,18644,43520
"Pemiscot County, Missouri",29155,Missouri,.1030303,n/a**,.0977444,n/a*,n/a*,0,.2700229,n/a**,.2781065,.3661327,n/a**,.3816568,.492676,.3147692,50700,33003,57972
"Perry County, Missouri",29157,Missouri,.0284553,n/a**,.0284553,n/a*,n/a*,0,.348718,n/a**,.348718,.4188034,n/a**,.4188034,.5562174,.0484602,66451,55450,66806
"Pettis County, Missouri",29159,Missouri,.0625,n/a**,.0633188,.2192982,.0519481,0,.2743295,n/a**,.2763466,.3478927,n/a**,.3497268,.3777873,.1507732,60159,60119,60164
"Phelps County, Missouri",29161,Missouri,.0635838,n/a**,.064833,.3131313,.0210526,0,.2997076,n/a**,.3032355,.371345,n/a**,.3747178,.462242,.1127493,62404,52703,63465
"Pike County, Missouri",29163,Missouri,.0112994,n/a**,.0112994,n/a*,n/a*,0,.3060345,n/a**,.3066955,.3814655,n/a**,.3822894,.5437999,.1194256,60711,73627,59712
"Platte County, Missouri",29165,Missouri,.0333851,n/a*,.0336727,.2110553,.0046948,0,.3238319,n/a*,.3235556,.3740817,n/a*,.3739259,.1580798,.1899346,100478,103730,99828
"Polk County, Missouri",29167,Missouri,.0277078,n/a**,.0277078,.1571429,0,0,.2897884,n/a**,.2897884,.3615455,n/a**,.3615455,.6886984,.0626496,60004,41099,60807
"Pulaski County, Missouri",29169,Missouri,.0489209,n/a**,.0503247,.2214286,.0072464,.0047962,.4345282,n/a**,.4262429,.5025604,n/a**,.4955175,.4403145,.306247,64126,57804,66087
"Putnam County, Missouri",29171,Missouri,.0333333,n/a**,.0333333,n/a*,n/a*,n/a*,.3164557,n/a**,.3164557,.3797468,n/a**,.3797468,1,.0403681,56944,11677,57523
"Ralls County, Missouri",29173,Missouri,.0205479,n/a**,.0205479,n/a*,n/a*,0,.34375,n/a**,.34375,.45625,n/a**,.45625,.9610505,.0454368,67500,72635,67399
"Randolph County, Missouri",29175,Missouri,.040404,n/a**,.040404,.1666667,0,0,.3408408,n/a**,.3408408,.4384384,n/a**,.4384384,.4517589,.115162,57461,41233,58667
"Ray County, Missouri",29177,Missouri,.0395137,n/a**,.0395137,.1967213,.0178571,0,.3633987,n/a**,.3633987,.420915,n/a**,.420915,.752192,.063388,74020,78784,73806
"Reynolds County, Missouri",29179,Missouri,.016129,n/a**,.016129,n/a*,n/a*,n/a*,.2485876,n/a**,.2485876,.3502825,n/a**,.3502825,1,.0626391,53030,30116,53948
"Ripley County, Missouri",29181,Missouri,.0516129,n/a**,.0516129,n/a*,n/a*,0,.2740385,n/a**,.2740385,.3653846,n/a**,.3653846,1,.049532,46280,39262,46449
"St. Charles County, Missouri",29183,Missouri,.0235229,n/a**,.0235578,.1815287,.0133869,.0004971,.3770922,n/a**,.377357,.4146549,n/a**,.4148377,.0583048,.1347538,106947,95093,108286
"St. Clair County, Missouri",29185,Missouri,.0288462,n/a**,.0288462,n/a*,n/a*,0,.2437276,n/a**,.2437276,.3655914,n/a**,.3655914,1,.0550694,51397,40113,51886
"Ste. Genevieve County, Missouri",29186,Missouri,.0350877,n/a**,.0350877,n/a*,n/a*,0,.3024,n/a**,.3024,.3632,n/a**,.3632,.7614219,.0434222,75189,96547,74600
"St. Francois County, Missouri",29187,Missouri,.0532044,n/a**,.0532044,.2303665,0,0,.3343254,n/a**,.3343254,.40625,n/a**,.40625,.3976346,.0823042,59361,39631,59522
"St. Louis County, Missouri",29189,Missouri,.051843,.1145919,.020324,.2413793,.0114665,.0005725,.298047,.3120646,.2899793,.337925,.3714376,.3210168,.0113799,.3484694,103189,69009,118589
"Saline County, Missouri",29195,Missouri,.0639098,n/a**,.0639098,.2112676,.0166667,.0074074,.3094868,n/a**,.3094868,.4059098,n/a**,.4059098,.4580659,.1973363,58691,42509,61186
"Schuyler County, Missouri",29197,Missouri,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2405063,n/a**,.2405063,.2911392,n/a**,.2911392,1,.030955,53256,66350,53185
"Scotland County, Missouri",29199,Missouri,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2393162,n/a**,.2413793,.2905983,n/a**,.2931035,1,.0073439,73096,43654,73314
"Scott County, Missouri",29201,Missouri,.0767825,n/a**,.0769231,.26,.0227273,0,.3207982,n/a**,.3202765,.4105909,n/a**,.4101382,.4155291,.1675769,61674,35250,66332
"Shannon County, Missouri",29203,Missouri,.0561798,n/a**,.0561798,n/a*,n/a*,n/a*,.3428572,n/a**,.3428572,.4142857,n/a**,.4142857,1,.0613363,43278,34334,43801
"Shelby County, Missouri",29205,Missouri,.031746,n/a**,.031746,n/a*,n/a*,n/a*,.2340426,n/a**,.2340426,.3351064,n/a**,.3351064,1,.0478962,57889,21545,58808
"Stoddard County, Missouri",29207,Missouri,.050505,n/a**,.0506329,.2631579,0,0,.291,n/a**,.2908726,.392,n/a**,.3921765,.6979111,.0461245,53651,34250,54324
"Stone County, Missouri",29209,Missouri,.0254237,n/a**,.0254958,n/a*,.0153846,0,.2977825,n/a**,.2979852,.3717001,n/a**,.3722163,.8868704,.051969,68776,48072,69747
"Sullivan County, Missouri",29211,Missouri,.0294118,n/a**,.0294118,n/a*,n/a*,n/a*,.2330097,n/a**,.2330097,.3300971,n/a**,.3300971,1,.2321114,57896,70115,55540
"Taney County, Missouri",29213,Missouri,.0462585,n/a**,.0458971,.248,.0071942,.0042463,.2884334,n/a**,.2916667,.3548072,n/a**,.3574297,.4386067,.1121312,58053,58652,58002
"Texas County, Missouri",29215,Missouri,.0440678,n/a**,.0440678,n/a*,.0192308,0,.3185596,n/a**,.3185596,.4044321,n/a**,.4044321,.9921178,.0899078,50352,51399,50291
"Vernon County, Missouri",29217,Missouri,.0454545,n/a**,.0456621,n/a*,n/a*,0,.2811502,n/a**,.2816,.3450479,n/a**,.344,.582589,.06084,60130,40313,60699
"Warren County, Missouri",29219,Missouri,.0244989,n/a**,.0249433,.1486486,0,0,.3551317,n/a**,.3567468,.4069028,n/a**,.4066544,.630394,.0833309,76704,71121,77057
"Washington County, Missouri",29221,Missouri,.0354331,n/a**,.0355731,.1764706,0,0,.3333333,n/a**,.3349282,.4015873,n/a**,.4019139,.8047628,.0576428,54810,52672,54896
"Wayne County, Missouri",29223,Missouri,.0465116,n/a**,.046875,n/a*,n/a*,0,.2626582,n/a**,.2611465,.4050633,n/a**,.4044586,1,.0516105,45398,66466,44733
"Webster County, Missouri",29225,Missouri,.0262009,n/a**,.0262009,.1818182,.0208333,0,.342803,n/a**,.343128,.4299242,n/a**,.4303318,.7392962,.059449,64106,66306,64007
"Worth County, Missouri",29227,Missouri,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2051282,n/a**,.2051282,.2435897,n/a**,.2435897,1,.0360138,59673,26918,60098
"Wright County, Missouri",29229,Missouri,.0225225,n/a**,.0225225,n/a*,n/a*,0,.2879046,n/a**,.2879046,.3747871,n/a**,.3747871,.7662503,.0499918,48932,88603,47331
"St. Louis city, Missouri",29510,Missouri,.0799712,.1338583,.0219595,.2680798,.0152838,0,.2436368,.2106686,.2770434,.2924935,.2699115,.3164284,3.13e-06,.5552306,64422,47315,82429
"Beaverhead County, Montana",30001,Montana,.027027,n/a**,.027027,n/a*,n/a*,0,.2816902,n/a**,.2816902,.3873239,n/a**,.3873239,.5015142,.0969729,64856,58312,65310
"Big Horn County, Montana",30003,Montana,.1344538,.1911765,n/a*,n/a*,n/a*,0,.3311897,.3571429,n/a*,.3794212,.3988095,n/a*,.7190828,.7322776,63920,55484,74442
"Blaine County, Montana",30005,Montana,.0491803,n/a*,n/a*,n/a*,n/a*,n/a*,.3081395,.3333333,.2804878,.3546512,.3777778,.3292683,1,.554398,51976,46848,56026
"Broadwater County, Montana",30007,Montana,.0134228,n/a**,.0134228,n/a*,n/a*,0,.3987138,n/a**,.3987138,.4758843,n/a**,.4758843,1,.0560135,75505,59128,76145
"Carbon County, Montana",30009,Montana,0,n/a**,0,n/a*,n/a*,0,.3142076,n/a**,.3142076,.3579235,n/a**,.3579235,1,.0573747,71282,52820,72145
"Carter County, Montana",30011,Montana,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,1,.0315552,64512,46500,64657
"Cascade County, Montana",30013,Montana,.0350195,n/a**,.0352595,.2537313,.005814,.001385,.3105006,n/a**,.3133588,.3835152,n/a**,.3862596,.1982122,.1477979,64362,49154,66593
"Chouteau County, Montana",30015,Montana,.0363636,n/a**,.0363636,n/a*,n/a*,n/a*,.2571429,n/a**,.2571429,.3857143,n/a**,.3857143,1,.2308095,57531,34993,62226
"Custer County, Montana",30017,Montana,.0181818,n/a**,.0181818,n/a*,n/a*,0,.2423398,n/a**,.2423398,.3036212,n/a**,.3036212,.1790751,.0820189,70861,67613,71041
"Daniels County, Montana",30019,Montana,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.3809524,n/a**,.3809524,.5079365,n/a**,.5079365,1,.0699422,74287,44993,77055
"Dawson County, Montana",30021,Montana,.0695652,n/a**,.0695652,n/a*,n/a*,0,.3098592,n/a**,.3098592,.3908451,n/a**,.3908451,.2757082,.0774093,72049,50851,73007
"Deer Lodge County, Montana",30023,Montana,.0784314,n/a**,.0784314,n/a*,n/a*,0,.2955326,n/a**,.2955326,.3402062,n/a**,.3402062,.3364164,.0988359,54982,24070,57008
"Fallon County, Montana",30025,Montana,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2727273,n/a**,.2727273,.3131313,n/a**,.3131313,1,.0564875,80843,43355,82547
"Fergus County, Montana",30027,Montana,.0162602,n/a**,.0162602,n/a*,n/a*,0,.2630137,n/a**,.2630137,.3369863,n/a**,.3369863,.4743656,.059353,67775,65158,67880
"Flathead County, Montana",30029,Montana,.0172117,n/a**,.0159716,.2021277,.0060606,0,.2861774,n/a**,.2895705,.3418804,n/a**,.345092,.5148469,.0724131,78594,58003,79912
