Table 1
NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Graham County, Arizona",04009,Arizona,.0719258,.2068966,.0402685,.2815534,.0212766,0,.3903688,.3741497,.4203822,.4395492,.3877551,.4713376,.464374,.4914201,60143,52049,65726
"Greenlee County, Arizona",04011,Arizona,.0192308,n/a*,n/a*,n/a*,n/a*,0,.4085106,.4,.3157895,.4425532,.4,.381579,.4656869,.5338164,74470,65086,82930
"La Paz County, Arizona",04012,Arizona,.0392157,.046875,.0298507,n/a*,.0188679,0,.2859619,.3113773,.2842105,.3500867,.3802395,.3473684,.5632778,.4260088,48900,49273,48728
"Maricopa County, Arizona",04013,Arizona,.0395944,.0682327,.0253457,.201395,.0090939,.0004895,.311102,.2954513,.3168442,.353487,.3470758,.3544501,.023638,.4565804,92992,76883,101753
"Mohave County, Arizona",04015,Arizona,.0344828,n/a*,.0337838,.1682785,.0042644,0,.2977987,n/a*,.2997223,.3624533,n/a*,.3647523,.2296364,.2340313,63437,56369,65001
"Navajo County, Arizona",04017,Arizona,.0865079,.1575221,.0226904,.2934783,0,.0016367,.3621711,.4303691,.318322,.4105263,.4647651,.3800123,.5413824,.5853197,53425,42266,64474
"Pima County, Arizona",04019,Arizona,.0363652,.0492288,.0250324,.1895298,.0083488,.0002824,.2941502,.3212191,.2875637,.344353,.3833206,.3291613,.0752349,.488737,76892,65083,84544
"Pinal County, Arizona",04021,Arizona,.0323782,.0429594,.0214592,.1725704,.0058091,.0002585,.3579677,.3072128,.3659787,.4162478,.3695458,.423617,.2190462,.4400796,78763,70124,82969
"Santa Cruz County, Arizona",04023,Arizona,.0354132,.0383142,.015873,.1869159,.0076923,0,.3002336,.3193571,.2537313,.3422897,.360587,.3084577,.2688317,.851463,61551,55369,84298
"Yavapai County, Arizona",04025,Arizona,.0257848,n/a**,.025641,.1728723,.0072639,.0005299,.2650986,n/a**,.2637445,.3256156,n/a**,.3249843,.3319718,.2003199,71282,70313,71439
